name,x,y
n_27922,-80.89254178,35.5497616
n_28106,-82.54645502,34.83586132
n_28107,-82.52697983,34.84019176
n_28108,-81.00790242,35.02477231
n_28114,-82.40968557,34.85165317
n_28211,-79.59656472,35.79067477
n_28275,-82.31514225,34.87903279
n_28295,-82.58371512,34.62997144
n_28296,-82.53032675,34.60516265
n_28297,-82.70323969,34.46827423
n_28298,-82.67365925,34.48728031
n_28299,-82.69106082,34.45198862
n_28300,-82.66571241,34.43805191
n_28301,-82.68815901,34.42134108
n_28302,-82.65535796,34.47358165
n_28303,-82.74203285,34.5981617
n_28304,-82.70472199,34.55244257
n_28305,-82.70096549,34.53862561
n_28306,-82.71025442,34.54247092
n_28307,-82.70294171,34.54274058
n_28308,-82.6923384,34.53256081
n_28309,-82.61127617,34.6252356
n_28310,-82.60654728,34.6422005
n_28311,-82.76006013,34.59288615
n_28332,-80.89310454,34.55913019
n_28470,-80.94599996,35.42197801
n_28471,-80.8317783,35.38378569
n_28501,-80.87761466,35.24986557
n_28502,-81.01114859,35.1902869
n_28504,-81.12147576,34.99772729
n_28505,-81.0750101,35.05152814
n_28506,-81.01125952,35.05248081
n_28509,-79.01655433,36.04485757
n_28601,-82.63629355,35.53759139
n_28625,-82.42233218,34.86470051
n_28636,-77.98149139,36.49246024
n_28652,-76.85182677,35.29742841
n_28662,-78.97493341,34.58879642
n_28663,-79.74728443,34.84297668
n_28664,-80.97557049,35.35843425
n_28665,-82.54354096,35.47203116
n_28666,-77.98422154,34.28258706
n_28667,-80.16364355,36.17165669
n_28668,-77.93747027,34.15402168
n_28669,-78.00998456,33.95842422
n_28670,-79.16572507,35.69952019
n_28671,-79.40468843,35.70201967
n_28673,-79.75793468,34.9041228
n_28697,-80.99249747,35.52224934
n_28698,-80.61865967,35.45077578
n_28699,-80.73921803,35.51395205
n_28700,-80.46895825,35.54938082
n_28702,-80.35683859,35.81498405
n_28703,-80.30307331,35.93631271
n_28704,-80.22142479,36.01157188
n_28706,-80.24435145,36.0783767
n_28707,-80.7829791,36.26151264
n_28710,-79.63515465,36.39020806
n_28711,-78.93064375,35.87164951
n_28718,-78.98260031,35.1569681
n_28719,-78.43196509,34.73803087
n_28766,-78.42404175,36.30900527
n_28767,-78.84743874,35.84723403
n_28770,-78.81209291,35.72502862
n_28771,-78.84030515,35.71155592
n_28779,-82.75379188,34.60626209
n_28842,-82.27048139,34.30486439
n_28945,-76.94413468,34.91360284
n_28946,-77.35255362,34.73074747
n_28947,-77.25226381,34.78459172
n_28951,-76.80331517,34.74854124
n_28953,-77.59448545,35.6080052
n_28954,-77.86212318,35.78081469
n_28955,-77.43231877,35.61365233
n_28990,-78.6997639,34.31875359
n_28991,-78.9712491,35.12666783
n_28993,-77.87736957,34.32878634
n_28994,-77.45748461,34.72472525
n_28995,-79.40632692,34.74806045
n_28996,-79.77173469,34.21613526
n_28998,-77.83336255,35.95152281
n_28999,-78.3684893,35.25136911
n_29000,-79.80008775,33.66852007
n_29001,-79.47443068,34.76579231
n_29002,-79.03824075,35.14183095
n_29005,-79.68758022,34.59018224
n_29006,-80.70383764,34.27507619
n_29007,-80.54080161,34.30251423
n_29010,-80.64644846,34.22871998
n_29011,-81.31451534,34.29740176
n_29015,-79.04907696,35.5918566
n_29016,-79.53038892,35.21981543
n_29017,-79.19433152,35.49299798
n_29018,-79.79696886,34.93079605
n_29019,-79.76162988,35.06308922
n_29020,-79.73426603,34.95577899
n_29021,-80.99241965,35.77184341
n_29024,-79.91979125,34.96856567
n_2907,-79.03369156,36.00156662
n_29226,-78.90321652,36.0082504
n_29228,-82.89810183,34.79327562
n_29239,-81.68447101,35.73770211
n_29240,-81.750585,35.73281893
n_29255,-81.55158997,35.89037123
n_29262,-78.58901272,36.35194584
n_29275,-81.70323071,35.75353805
n_29284,-81.66166284,35.72138284
n_29293,-82.26497427,34.83094998
n_29477,-80.58292347,35.55949599
n_29630,-77.82251323,35.86730489
n_29661,-80.63228577,36.43018032
n_29803,-81.41589796,35.16651223
n_29872,-78.85299426,36.17580938
n_29873,-78.83284098,36.13461055
n_29874,-78.85329799,36.17571799
n_29962,-80.90294888,35.36648368
n_29973,-79.04736413,35.59422791
n_29979,-79.03467148,35.51358105
n_29983,-79.89470425,35.34710091
n_3,-82.69765456,34.67828165
n_30061,-79.38107502,33.72021888
n_30064,-80.42544129,33.96895721
n_30065,-80.49397529,34.16270442
n_30066,-80.18043894,33.50016551
n_30067,-80.22436876,33.56640518
n_30068,-79.21387949,35.47758438
n_30069,-79.05817926,35.58721246
n_30086,-81.17223652,36.20585378
n_30087,-81.13258534,36.16332176
n_30205,-82.76568629,34.72183893
n_30212,-81.63702098,35.72666787
n_30260,-82.29716623,34.82184613
n_30301,-79.04205559,35.99761403
n_30304,-78.84909739,36.11624996
n_30343,-81.0804178,35.05682551
n_30398,-80.14105388,34.28731538
n_30399,-80.22075421,34.00013729
n_30400,-79.99658526,34.41641764
n_30401,-79.76186689,34.90346905
n_30412,-81.32258292,35.63173017
n_30413,-78.22507786,34.32365025
n_30415,-80.9940875,35.33101995
n_30416,-80.99487146,35.3439065
n_30421,-78.63712258,36.35643078
n_30493,-79.87094987,34.14380282
n_30494,-79.80165791,33.67318094
n_30518,-78.97810622,34.58967101
n_30519,-80.38902458,33.88465759
n_30520,-80.38439973,33.8855819
n_30521,-80.34054462,33.88721658
n_30522,-77.84000839,35.82145404
n_30523,-77.81485851,35.89380811
n_30524,-79.7456723,35.76256888
n_30525,-79.92057919,34.97191269
n_30630,-81.71711917,35.72065966
n_30640,-81.68785854,35.73704037
n_30852,-81.43461659,35.16177969
n_30882,-80.97852919,35.35694384
n_30890,-81.01532842,35.1514713
n_30897,-82.51931385,35.05610454
n_30898,-81.75827158,35.22541932
n_30912,-82.15863909,34.94675081
n_30940,-80.32457461,35.73809785
n_30941,-80.10150085,35.78289625
n_30942,-78.84396087,35.87283296
n_30943,-78.85449335,35.87313855
n_30944,-78.83593832,35.88236497
n_30950,-80.83217761,35.56590849
n_30957,-81.99969209,34.86036385
n_30975,-81.59066729,34.23814393
n_30976,-81.99990218,34.3607448
n_31010,-78.06049927,35.30524238
n_31012,-79.76097488,33.83517206
n_31014,-80.65528985,34.24364043
n_31016,-81.29788062,34.24997464
n_31027,-80.61444446,34.90695236
n_31089,-81.68239344,35.73535964
n_31224,-81.66268868,35.72095461
n_31267,-80.37402243,35.71371477
n_319,-78.95188606,35.6322294
n_321,-78.74528168,35.75830335
n_322,-78.7497805,35.95059856
n_323,-78.76575002,35.88927515
n_324,-78.70761734,35.81797717
n_325,-78.78983771,35.78918082
n_326,-78.81706651,35.92684897
n_328,-78.68241491,35.79088146
n_333,-78.69419506,35.82903919
n_334,-78.70005725,35.87269228
n_340,-78.29545518,35.52344475
n_3484,-78.84655428,36.02736181
n_3485,-78.76860272,36.13178238
n_3492,-78.87916781,36.09179222
n_3493,-78.84961582,36.09788096
n_3494,-78.85592658,36.1319052
n_3497,-78.85116241,36.06516238
n_3498,-78.77802179,36.12518468
n_3861,-78.85151531,35.88453644
n_4093,-81.03629286,36.17640182
n_4095,-80.90336958,35.43170523
n_4096,-80.89420309,35.47536181
n_4097,-80.9119718,35.42730145
n_4098,-80.87866344,35.45748469
n_4099,-81.0334757,35.43279702
n_4166,-79.05692161,35.89211886
n_4169,-79.06201637,35.90751668
n_4452,-78.77882651,33.81451994
n_4459,-80.8839216,35.17446826
n_4472,-80.69248756,35.31293471
n_4473,-80.60097296,35.72282995
n_4474,-81.08586404,35.06316679
n_4475,-81.19020942,35.2240775
n_4477,-81.43358016,35.1573568
n_4478,-81.74959523,34.89580782
n_4479,-82.74473037,34.73737548
n_4481,-82.52349904,34.82806004
n_4484,-81.76703489,35.21978514
n_4491,-81.01316007,35.13579607
n_4496,-81.54413172,35.25780322
n_4507,-81.06677041,35.11296094
n_4517,-81.23349471,35.28143236
n_4521,-81.57428123,35.07629645
n_4531,-82.91558594,34.95433646
n_4532,-82.51531591,34.98347305
n_4534,-82.1554961,34.95275854
n_4536,-81.89641113,35.00640254
n_4538,-82.42604505,34.89276198
n_4539,-82.25734415,34.72413884
n_4540,-82.22655683,34.69456979
n_5117,-78.86199646,35.98114577
n_6024,-83.10872544,35.26560042
n_6048,-78.94337824,36.12470096
n_6131,-77.81013847,36.49689475
n_6177,-79.05052032,36.48108953
n_6178,-79.08224561,36.47646472
n_6191,-80.78070746,34.17905717
n_6400,-78.04479044,36.51232624
n_6402,-77.66681211,36.39891465
n_6403,-77.92971436,36.43351398
n_6404,-77.73120827,36.11530362
n_6641,-80.70175555,35.09759397
n_6646,-80.95210554,35.42941348
n_6647,-80.98645951,35.35716711
n_6650,-79.03846235,35.59188199
n_6651,-77.72461252,36.01560145
n_6652,-80.94868845,35.43283109
n_6654,-79.05597746,36.45336483
n_6655,-77.76269693,36.05216491
n_6656,-77.75217553,36.03692755
n_6657,-78.00796223,33.94456054
n_6658,-78.04373821,34.32253969
n_6659,-81.01622268,35.21669351
n_6660,-79.78244872,36.17688244
n_6661,-78.09490687,35.37706564
n_6662,-80.1689924,36.11346469
n_6663,-77.57419853,35.89745086
n_6664,-78.01211835,34.33201379
n_6665,-77.7591071,36.03175242
n_6666,-79.78000066,36.12487599
n_6667,-80.94441869,35.23727711
n_6668,-78.99692722,34.59027064
n_6669,-80.96727596,35.59656688
n_6670,-78.96066172,36.43398159
n_6671,-78.01063349,33.94432874
n_6673,-80.79198372,35.48917262
n_6674,-78.03942677,34.32403553
n_6675,-79.01329469,34.61744452
n_6676,-78.00148646,33.94269638
n_6677,-77.53891304,35.89111051
n_6678,-79.78078871,36.12249068
n_6679,-77.44184641,35.36253502
n_6680,-80.98585132,35.23511004
n_6681,-77.61918431,36.43701321
n_6682,-80.06253841,36.27938244
n_6683,-79.78643966,36.17985552
n_6684,-81.74707233,35.22707922
n_6685,-80.37554926,35.70969724
n_6687,-78.22760331,34.32577681
n_6688,-78.0434892,33.97373342
n_6689,-78.32881782,34.03894568
n_6690,-78.04766893,33.95331525
n_6691,-78.55443375,35.78058521
n_6692,-79.7551621,35.7238582
n_6695,-78.94705956,35.65735906
n_6696,-79.43962099,35.73681754
n_6697,-78.70578161,35.64567644
n_6698,-78.74236421,35.65192212
n_6699,-78.44798622,35.86357053
n_6700,-78.56964105,35.73006333
n_6701,-78.91755748,35.67292659
n_6703,-78.57777731,35.66902623
n_6705,-80.15757994,34.40162138
n_6706,-80.14602178,34.38202014
n_6707,-80.16758068,34.4176449
n_6708,-80.16682866,34.43043322
n_6709,-80.06558399,34.4429521
n_6710,-80.06441187,34.44028846
n_6711,-80.19860155,34.41027648
n_6888,-77.94841319,35.81189223
n_6889,-78.37704793,35.77162169
n_6890,-77.99419688,35.773667
n_6891,-78.89415312,36.48419979
n_6892,-77.9974769,35.74667135
n_6893,-78.36606478,35.69293799
n_6894,-78.83779115,35.57632749
n_6895,-78.74716362,35.50718038
n_6897,-78.658393,35.33700431
n_6900,-78.71151749,35.4115086
n_6901,-78.5458952,35.39581878
n_6902,-78.656236,35.33472995
n_6903,-78.30420611,35.53925928
n_6904,-78.34371192,35.56720509
n_6905,-78.77279743,35.57062462
n_6906,-78.33903881,35.47728675
n_6907,-78.10965845,35.43618908
n_6912,-80.38105696,35.2193859
n_6913,-80.95090763,34.97987892
n_6916,-80.60337787,36.50716836
n_6922,-80.33822279,35.21905698
n_6930,-80.57426661,35.46588958
n_6938,-80.73728639,35.48386593
n_6939,-80.880145,35.5803674
n_6940,-80.82273998,35.5616517
n_6941,-80.84077876,35.56752357
n_6942,-80.70523271,35.42216758
n_6953,-80.30038569,35.92443351
n_6954,-80.32843427,35.80584444
n_6955,-80.27518547,35.9628363
n_6956,-80.31249189,35.9709273
n_6964,-80.29248991,36.02937473
n_6965,-80.36474989,36.2766012
n_6966,-80.55654685,36.43293786
n_6967,-80.30626999,36.24475425
n_6968,-80.43965755,36.3305398
n_6969,-80.59827571,36.48065462
n_6971,-80.63684072,36.14317594
n_6972,-80.30287905,36.24869464
n_6974,-80.65172052,36.14308246
n_6976,-80.65658749,36.14079904
n_6977,-80.39787417,35.98104084
n_6978,-80.69214426,36.20517818
n_6980,-80.64990381,36.13870929
n_6981,-80.475628,36.3804374
n_6982,-80.52385954,36.41410208
n_6984,-80.63312028,36.12595814
n_6986,-80.36281911,36.24688279
n_6987,-80.64520229,36.49552875
n_6991,-80.63002827,36.44947552
n_7011,-79.83298953,36.33079194
n_7014,-79.75264895,36.36601418
n_7026,-79.72187965,36.15834127
n_7031,-79.81288699,35.89339521
n_7041,-80.01383962,36.01823764
n_7044,-81.12955304,36.16150775
n_7045,-81.11044939,36.17725218
n_7046,-81.05088536,36.17320866
n_7047,-81.03461632,36.19990185
n_7049,-80.81847392,36.22108564
n_7050,-79.01459655,35.41514013
n_7061,-78.99735548,35.32417495
n_7062,-78.26387648,34.42344979
n_7064,-78.99437195,35.21481901
n_7065,-79.0298205,35.03882018
n_7066,-78.99555663,35.19680205
n_7067,-79.02213253,35.0682812
n_7069,-79.59693765,34.2161327
n_7089,-78.68619463,34.32678846
n_7091,-78.80631424,34.74184699
n_7092,-78.80745012,34.74551325
n_7555,-78.86264508,36.47868883
n_7557,-78.89103391,36.26028655
n_7559,-78.91337319,36.49030319
n_7566,-78.81169228,35.90952491
n_7587,-78.82562445,35.76202976
n_7588,-78.84164344,35.81949671
n_7589,-78.89404544,35.82001623
n_7590,-78.8057835,35.79924597
