station_id,latitude,longitude,ports,assigned_demand_units,assigned_zones,connected_substation,substation_latitude,substation_longitude,grid_distance_miles,power_mw
6,35.791378,-78.630676,12,418.5528102100001,18,0,35.76903806,-78.63231909,2.010174637926018,1.8
16,35.768278,-78.641469,12,418.27866027999994,19,0,35.76903806,-78.63231909,0.670327838477467,1.8
22,35.808006,-78.689632,12,416.62024605000005,6,6,35.80795777,-78.692485,0.2078679560057616,1.8
42,35.727841,-78.604845,12,415.45829694,11,27,35.73006333,-78.56964105,2.574681606894402,1.8
