station_id,latitude,longitude,ports,assigned_demand_units,assigned_zones,connected_substation,substation_latitude,substation_longitude,grid_distance_miles,power_mw
9,35.788577,-78.616604,12,416.58794394999995,18,0,35.76903806,-78.63231909,2.095586262207739,1.8
15,35.768783,-78.64692,12,419.1239440299999,19,0,35.76903806,-78.63231909,1.064352531258449,1.8
22,35.808006,-78.689632,12,414.46404652,6,6,35.80795777,-78.692485,0.2078679560057616,1.8
42,35.727841,-78.604845,12,415.45829694,11,27,35.73006333,-78.56964105,2.574681606894402,1.8
